ticker,permno,date,prc,ret,vwretd
TSLA,93436,2022-10-31,227.53999,-0.142168,0.077394
TSLA,93436,2022-11-30,194.7,-0.144326,0.052354
TSLA,93436,2022-12-30,123.18,-0.367334,-0.05712
TSLA,93436,2023-01-31,173.22,0.406235,0.071823
TSLA,93436,2023-02-28,205.71001,0.187565,-0.024666
TSLA,93436,2023-03-31,207.46001,0.008507,0.02395
TSLA,93436,2023-04-28,164.31,-0.207992,0.008976
TSLA,93436,2023-05-31,203.92999,0.24113,0.000708
TSLA,93436,2023-06-30,261.76999,0.283627,0.066183
TSLA,93436,2023-07-31,267.42999,0.021622,0.035618
TSLA,93436,2023-08-31,258.07999,-0.034962,-0.020608
TSLA,93436,2023-09-29,250.22,-0.030456,-0.047391
TSLA,93436,2023-10-31,200.84,-0.197346,-0.028865
TSLA,93436,2023-11-30,240.08,0.195379,0.092053
TSLA,93436,2023-12-29,248.48,0.034988,0.053604
TSLA,93436,2024-01-31,187.28999,-0.246257,0.007561
TSLA,93436,2024-02-29,201.88,0.077901,0.050584
TSLA,93436,2024-03-28,175.78999,-0.129235,0.03245
TSLA,93436,2024-04-30,183.28,0.042608,-0.042724
TSLA,93436,2024-05-31,178.08,-0.028372,0.046553
TSLA,93436,2024-06-28,197.88,0.111186,0.026073
TSLA,93436,2024-07-31,232.07001,0.172781,0.019878
TSLA,93436,2024-08-30,214.11,-0.077391,0.021572
TSLA,93436,2024-09-30,261.63,0.221942,0.020969
TSLA,93436,2024-10-31,249.85001,-0.045025,-0.008298
TSLA,93436,2024-11-29,345.16,0.381469,0.064855
TSLA,93436,2024-12-31,403.84,0.170008,-0.031582
