ticker,permno,date,prc,ret,vwretd,normalized_stock_return,normalized_market_return
GOOGL,90319,2021-03-31,2062.52002,0.020085,0.030573,153.98937977976567,127.97975377768658
GOOGL,90319,2021-04-30,2353.5,0.14108,0.04819,175.71420147909504,134.1470981122333
GOOGL,90319,2021-05-28,2356.8501,0.001423,0.007092,175.96424278779978,135.09846933204525
GOOGL,90319,2021-06-30,2441.79004,0.03604,0.023422,182.3059940978721,138.2627456807404
GOOGL,90319,2021-07-30,2694.53003,0.103506,0.011828,201.1757583229665,139.89811743665223
GOOGL,90319,2021-08-31,2893.94995,0.074009,0.027146,216.0645750206909,143.69579173258757
GOOGL,90319,2021-09-30,2673.52002,-0.076169,-0.042243,199.60715240593993,137.62565040242785
GOOGL,90319,2021-10-29,2960.91992,0.107499,0.064651,221.06472168242607,146.5232863265952
GOOGL,90319,2021-11-30,2837.94995,-0.041531,-0.018351,211.88368272623325,143.83443749921588
GOOGL,90319,2021-12-31,2897.04004,0.020821,0.033341,216.29531288427611,148.63002147987723
GOOGL,90319,2022-01-31,2706.07007,-0.065919,-0.059823,202.03734215425752,139.73852770488654
GOOGL,90319,2022-02-28,2701.13989,-0.001822,-0.021838,201.66923011685248,136.6869177368672
GOOGL,90319,2022-03-31,2781.3501,0.029695,0.030506,207.6577979051724,140.85668884934807
GOOGL,90319,2022-04-29,2282.18994,-0.179467,-0.089387,170.39007588852482,128.2659320031714
GOOGL,90319,2022-05-31,2275.23999,-0.003045,-0.002113,169.87123810744427,127.9949060888487
GOOGL,90319,2022-06-30,2179.26001,-0.042185,-0.083998,162.70521992788173,117.24358996719756
GOOGL,90319,2022-07-29,116.32,0.067518,0.090351,173.69075096697242,127.83666556432385
GOOGL,90319,2022-08-31,108.22,-0.069636,-0.036233,161.5956218326363,123.20475966093171
GOOGL,90319,2022-09-30,95.65,-0.116152,-0.091323,142.82596716553192,111.95333139441645
GOOGL,90319,2022-10-31,94.51,-0.011918,0.077394,141.12376728885312,120.61784752435591
GOOGL,90319,2022-11-30,100.99,0.068564,0.052354,150.79977726924605,126.93267431364606
GOOGL,90319,2022-12-30,88.23,-0.126349,-0.05712,131.74637621105407,119.68227995685059
GOOGL,90319,2023-01-31,98.84,0.120254,0.071823,147.58940493593818,128.27822035019148
GOOGL,90319,2023-02-28,90.06,-0.08883,-0.024666,134.47903809547878,125.11410976703365
GOOGL,90319,2023-03-31,103.73,0.151788,0.02395,154.89134232991532,128.1105926959541
GOOGL,90319,2023-04-28,107.34,0.034802,0.008976,160.28187082568104,129.260513375993
GOOGL,90319,2023-05-31,122.87,0.144681,0.000708,183.47161217861142,129.35202981946318
GOOGL,90319,2023-06-30,119.7,-0.0258,0.066183,178.73804458440324,137.91293520900473
GOOGL,90319,2023-07-31,132.72,0.108772,0.035618,198.17973916993796,142.82511813527904
GOOGL,90319,2023-08-31,136.17,0.025995,-0.020608,203.33142148966047,139.88177810074723
GOOGL,90319,2023-09-29,130.86,-0.038995,-0.047391,195.40251270867117,133.25264075477472
GOOGL,90319,2023-10-31,124.08,-0.051811,-0.028865,185.27851312272222,129.40630327938814
GOOGL,90319,2023-11-30,132.53,0.068101,0.092053,197.8961651448927,141.31854171516565
GOOGL,90319,2023-12-29,139.69,0.054026,0.053604,208.58770336301066,148.8937808252654
GOOGL,90319,2024-01-31,140.10001,0.002935,0.007561,209.1999082723811,150.0195667020852
GOOGL,90319,2024-02-29,138.46001,-0.011706,0.050584,206.7510141461446,157.6081564641435
GOOGL,90319,2024-03-28,150.92999,0.090062,0.03245,225.3714239821747,162.72254114140495
GOOGL,90319,2024-04-30,162.78,0.078513,-0.042724,243.0660105932872,155.77038329367957
GOOGL,90319,2024-05-31,172.5,0.059713,0.046553,257.5802112838441,163.02196194715023
GOOGL,90319,2024-06-28,182.14999,0.057101,0.026073,272.2882989283629,167.2724335609983
GOOGL,90319,2024-07-31,171.53999,-0.058249,0.019878,256.4277778040847,170.59747499532384
GOOGL,90319,2024-08-30,163.38,-0.047569,0.021572,244.22976484172221,174.27760372592294
GOOGL,90319,2024-09-30,165.85001,0.016342,0.020969,248.22096765876566,177.93203079845182
GOOGL,90319,2024-10-31,171.11,0.031715,-0.008298,256.0932956480634,176.45555080688627
GOOGL,90319,2024-11-29,168.95,-0.012624,0.064855,252.86037388380228,187.89957555446688
GOOGL,90319,2024-12-31,189.3,0.121634,-0.031582,283.6167926007847,181.96533115930572
META,13407,2020-01-31,201.91,-0.016273,-0.001728,98.37270000000001,99.8272
META,13407,2020-02-28,192.47,-0.046754,-0.077918,93.77338278420001,92.0488642304
META,13407,2020-03-31,166.8,-0.133371,-0.141733,81.26673294888846,79.00250255643272
META,13407,2020-04-30,204.71001,0.227278,0.129674,99.73687348004594,89.24707307293558
META,13407,2020-05-29,225.09,0.099555,0.053739,109.66617791935191,94.04312153280206
META,13407,2020-06-30,227.07001,0.008797,0.025299,110.63091128650844,96.42231846446042
META,13407,2020-07-31,253.67,0.117144,0.055532,123.59065875825517,101.77684265342883
META,13407,2020-08-31,293.20001,0.155832,0.068442,142.85003829387156,108.74265331831484
META,13407,2020-09-30,261.89999,-0.106753,-0.035056,127.60036815588592,104.93057086358799
META,13407,2020-10-30,263.10999,0.00462,-0.020178,128.1898818567661,102.81328180470251
META,13407,2020-11-30,276.97,0.052678,0.123707,134.94266845321684,115.53200445691685
META,13407,2020-12-31,273.16,-0.013756,0.045048,133.0863971059744,120.73649019369203
META,13407,2021-01-29,258.32999,-0.054291,-0.000631,125.86100352069396,120.6603054683798
META,13407,2021-02-26,257.62,-0.002748,0.029196,125.5151374830191,124.1831037468346
META,13407,2021-03-31,294.53,0.143273,0.030573,143.4980677756237,127.97975377768658
META,13407,2021-04-30,325.07999,0.103725,0.04819,158.3824048556503,134.1470981122333
META,13407,2021-05-28,328.73001,0.011228,0.007092,160.16072249736953,135.09846933204525
META,13407,2021-06-30,347.70999,0.057737,0.023422,169.40792213220016,138.2627456807404
META,13407,2021-07-30,356.29999,0.024705,0.011828,173.59314484847616,139.89811743665223
META,13407,2021-08-31,379.38,0.064777,0.027146,184.83798799232588,143.69579173258757
META,13407,2021-09-30,339.39001,-0.105409,-0.042243,165.35440051604283,137.62565040242785
META,13407,2021-10-29,323.57001,-0.046613,0.064651,157.6467358447885,146.5232863265952
META,13407,2021-11-30,324.45999,0.002751,-0.018351,158.08042201509753,143.83443749921588
META,13407,2021-12-31,336.35001,0.036646,0.033341,163.8734371602628,148.63002147987723
META,13407,2022-01-31,313.26001,-0.068649,-0.059823,152.62368957264792,139.73852770488654
META,13407,2022-02-28,211.03,-0.326342,-0.021838,102.81616947013083,136.6869177368672
META,13407,2022-03-31,222.36,0.053689,0.030506,108.3362667928127,140.85668884934807
META,13407,2022-04-29,200.47,-0.098444,-0.089387,97.67121134466105,128.2659320031714
META,13407,2022-05-31,193.64,-0.03407,-0.002113,94.34355317414844,127.9949060888487
META,13407,2022-06-30,161.25,-0.167269,-0.083998,78.56280137826181,117.24358996719756
META,13407,2022-07-29,159.10001,-0.013333,0.090351,77.51532354748544,127.83666556432385
META,13407,2022-08-31,162.92999,0.024073,-0.036233,79.38134993124406,123.20475966093171
META,13407,2022-09-30,135.67999,-0.16725,-0.091323,66.10481915524349,111.95333139441645
META,13407,2022-10-31,93.16,-0.313384,0.077394,45.38862650909666,120.61784752435591
META,13407,2022-11-30,118.1,0.267711,0.052354,57.53966110047344,126.93267431364606
META,13407,2022-12-30,120.34,0.018967,-0.05712,58.631015852566115,119.68227995685059
META,13407,2023-01-31,148.97,0.237909,0.071823,72.57986220303427,128.27822035019148
META,13407,2023-02-28,174.94,0.17433,-0.024666,85.23270958088924,125.11410976703365
META,13407,2023-03-31,211.94,0.211501,0.02395,103.25951288995687,128.1105926959541
META,13407,2023-04-28,240.32001,0.133906,0.008976,117.08658122299944,129.260513375993
META,13407,2023-05-31,264.72,0.101531,0.000708,128.9744989011518,129.35202981946318
META,13407,2023-06-30,286.98001,0.084089,0.066183,139.81983553925076,137.91293520900473
META,13407,2023-07-31,318.60001,0.110182,0.035618,155.2254646586365,142.82511813527904
META,13407,2023-08-31,295.89001,-0.071281,-0.020608,144.1608383123042,139.88177810074723
META,13407,2023-09-29,300.20999,0.0146,-0.047391,146.26558655166386,133.25264075477472
META,13407,2023-10-31,301.26999,0.003531,-0.028865,146.78205033777778,129.40630327938814
META,13407,2023-11-30,327.14999,0.085903,0.092053,159.39106880794392,141.31854171516565
